17.60,0.71,15.24,17.50
17.70,0.71,15.27,17.50
17.80,0.71,15.30,17.51
17.90,0.72,15.32,17.52
18.00,0.72,15.35,17.53
18.10,0.72,15.38,17.54
18.20,0.72,15.40,17.55
18.30,0.72,15.43,17.56
18.40,0.72,15.46,17.56
18.50,0.72,15.49,17.57
18.60,0.72,15.51,17.58
18.70,0.72,15.54,17.59
18.80,0.72,15.57,17.60
18.90,0.72,15.60,17.61
19.00,0.72,15.62,17.62
19.10,0.72,15.65,17.62
19.20,0.72,15.68,17.63
19.30,0.72,15.70,17.64
19.40,0.72,15.73,17.65
19.50,0.72,15.76,17.66
19.60,0.72,15.79,17.67
19.70,0.72,15.81,17.67
19.80,0.72,15.84,17.68
19.90,0.72,15.87,17.69
20.00,0.73,15.90,17.70
20.10,0.73,15.92,17.71
20.20,0.73,15.95,17.72
20.30,0.73,15.98,17.73
20.40,0.73,16.00,17.73
20.50,0.73,16.03,17.74
20.60,0.73,16.06,17.75
20.70,0.73,16.09,17.76
20.80,0.73,16.11,17.77
20.90,0.73,16.14,17.78
21.00,0.73,16.17,17.79
21.10,0.73,16.20,17.79
21.20,0.73,16.22,17.80
21.30,0.73,16.25,17.81
21.40,0.73,16.28,17.82
21.50,0.73,16.31,17.83
21.60,0.73,16.33,17.84
21.70,0.74,16.36,17.84
21.80,0.74,16.39,17.85
21.90,0.74,16.41,17.86
22.00,0.74,16.44,17.87
22.10,0.74,16.47,17.88
22.20,0.74,16.50,17.89
22.30,0.74,16.52,17.90
22.40,0.74,16.55,17.90
22.50,0.74,16.58,17.91
22.60,0.74,16.61,17.92
22.70,0.74,16.63,17.93
22.80,0.74,16.66,17.94
22.90,0.75,16.69,17.95
23.00,0.75,16.71,17.96
23.10,0.75,16.74,17.96
23.20,0.75,16.77,17.97
23.30,0.75,16.80,17.98
23.40,0.75,16.82,17.99
23.50,0.75,16.85,18.00
23.60,0.75,16.89,18.01
23.70,0.75,16.92,18.01
23.80,0.75,16.96,18.02
23.90,0.75,16.99,18.03
24.00,0.76,17.03,18.04
24.10,0.76,17.06,18.05
24.20,0.76,17.10,18.06
24.30,0.76,17.13,18.07
24.40,0.76,17.16,18.07
24.50,0.77,17.20,18.08
24.60,0.77,17.23,18.09
24.70,0.78,17.27,18.10
24.80,0.79,17.30,18.11
24.90,0.79,17.34,18.12
25.00,0.80,17.37,18.13
25.10,0.80,17.41,18.13
25.20,0.81,17.44,18.14
25.30,0.82,17.47,18.15
25.40,0.88,17.51,18.16
25.50,0.96,17.54,18.17
25.60,0.96,17.58,18.18
25.70,0.96,17.61,18.18
25.80,0.96,17.65,18.19
25.90,0.96,17.68,18.20
26.00,0.96,17.72,18.21
26.10,0.96,17.75,18.22
26.20,0.96,17.78,18.23
26.30,0.96,17.82,18.24
26.40,0.96,17.85,18.24
26.50,0.96,17.89,18.25
26.60,0.96,17.92,18.26
26.70,0.96,17.96,18.27
26.80,0.96,17.99,18.28
26.90,0.96,18.03,18.29
27.00,0.96,18.06,18.30
27.10,0.97,18.09,18.30
27.20,0.97,18.13,18.31
27.30,0.97,18.16,18.32
27.40,0.97,18.20,18.33
27.50,0.97,18.23,18.34
27.60,0.97,18.27,18.35
27.70,0.97,18.30,18.35
27.80,0.97,18.34,18.36
27.90,0.97,18.37,18.37
28.00,0.97,18.40,18.38
28.10,0.97,18.44,18.39
28.20,0.98,18.47,18.40
28.30,0.98,18.51,18.41
28.40,0.98,18.54,18.41
28.50,0.98,18.58,18.42
28.60,0.98,18.61,18.43
28.70,0.98,18.68,18.44
28.80,0.98,18.79,18.45
28.90,0.98,18.91,18.46
29.00,0.98,19.02,18.47
